,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
68,2,2021-03-01 00:27:35,2021-03-01 00:44:17,1,9.11,1,N,138,141,1,26.0,0.5,0.5,7.18,6.12,0.3,43.1,2.5
69,2,2021-03-01 00:09:38,2021-03-01 00:23:32,1,8.85,1,N,138,107,1,25.0,0.5,0.5,8.73,6.12,0.3,43.65,2.5
70,2,2021-03-01 00:05:25,2021-03-01 00:37:46,1,16.54,1,N,132,257,1,46.0,0.5,0.5,9.46,0.0,0.3,56.76,0.0
71,2,2021-03-01 00:49:01,2021-03-01 01:09:37,1,8.1,1,N,132,102,1,25.5,0.5,0.5,5.36,0.0,0.3,32.16,0.0
72,2,2021-03-01 00:14:48,2021-03-01 00:18:10,1,1.08,1,N,230,186,2,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
73,1,2021-03-01 00:45:36,2021-03-01 00:52:12,1,2.2,1,N,249,13,1,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
74,2,2021-02-28 23:59:53,2021-03-01 00:06:53,1,1.9,1,N,48,158,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
75,2,2021-03-01 00:17:23,2021-03-01 00:39:34,1,8.1,1,N,144,227,1,25.0,0.5,0.5,3.0,0.0,0.3,31.8,2.5
76,2,2021-03-01 00:09:27,2021-03-01 00:34:00,1,11.27,1,N,138,62,1,33.5,0.5,0.5,6.96,0.0,0.3,41.76,0.0
77,1,2021-03-01 00:11:22,2021-03-01 00:33:42,1,9.8,1,N,138,239,1,29.0,3.0,0.5,3.89,6.12,0.3,42.81,2.5
78,1,2021-03-01 00:34:51,2021-03-01 01:00:42,2,15.9,1,N,138,26,2,44.0,0.5,0.5,0.0,0.0,0.3,45.3,0.0
79,2,2021-03-01 00:08:47,2021-03-01 00:26:04,2,4.74,1,N,90,263,1,17.0,0.5,0.5,5.2,0.0,0.3,26.0,2.5
80,2,2021-03-01 00:33:46,2021-03-01 00:42:35,1,1.78,1,N,141,48,2,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
81,2,2021-03-01 00:43:27,2021-03-01 00:50:56,2,2.81,1,N,48,151,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
82,2,2021-03-01 00:06:17,2021-03-01 00:12:29,1,1.44,1,N,236,239,1,7.0,0.5,0.5,3.0,0.0,0.3,13.8,2.5
83,2,2021-03-01 00:24:03,2021-03-01 00:34:01,1,2.1,1,N,142,141,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
84,2,2021-03-01 00:22:49,2021-03-01 00:22:51,1,0.0,5,N,264,264,3,-15.0,0.0,0.0,0.0,0.0,-0.3,-15.3,0.0
85,2,2021-03-01 00:22:49,2021-03-01 00:22:51,1,0.0,5,N,264,264,2,15.0,0.0,0.0,0.0,0.0,0.3,15.3,0.0
86,2,2021-03-01 00:24:11,2021-03-01 00:25:52,1,0.0,5,N,7,264,1,15.0,0.0,0.0,3.06,0.0,0.3,18.36,0.0
87,2,2021-03-01 00:14:39,2021-03-01 00:21:24,1,1.54,1,N,24,152,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,0.0
88,2,2021-03-01 00:12:52,2021-03-01 00:35:07,1,9.89,1,N,138,68,1,28.5,0.5,0.5,7.68,6.12,0.3,46.1,2.5
89,2,2021-03-01 00:40:39,2021-03-01 00:50:30,1,2.6,1,N,68,143,2,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
90,2,2021-03-01 00:01:52,2021-03-01 00:20:19,1,8.66,1,N,48,235,2,25.0,0.5,0.5,0.0,0.0,0.3,28.8,2.5
91,2,2021-03-01 00:03:01,2021-03-01 00:10:30,2,1.78,1,N,75,262,1,7.5,0.5,0.5,1.8,0.0,0.3,13.1,2.5
92,2,2021-03-01 00:31:00,2021-03-01 00:36:06,2,2.06,1,N,229,263,2,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
93,2,2021-03-01 00:12:10,2021-03-01 00:47:01,1,3.4,1,N,233,233,2,20.0,0.5,0.5,0.0,0.0,0.3,23.8,2.5
94,2,2021-03-01 00:51:04,2021-03-01 00:54:40,1,0.96,1,N,137,224,1,5.0,0.5,0.5,1.0,0.0,0.3,9.8,2.5
95,2,2021-03-01 00:14:27,2021-03-01 00:18:22,6,0.75,1,N,79,79,1,5.0,0.5,0.5,1.2,0.0,0.3,10.0,2.5
96,2,2021-03-01 00:27:00,2021-03-01 00:44:09,1,11.71,1,N,138,137,1,32.0,0.5,0.5,5.0,6.12,0.3,46.92,2.5
97,1,2021-03-01 00:44:49,2021-03-01 01:08:00,1,9.9,1,N,68,257,2,29.0,3.0,0.5,0.0,0.0,0.3,32.8,2.5
98,1,2021-03-01 00:27:00,2021-03-01 00:31:57,1,1.3,1,N,74,75,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0
99,2,2021-03-01 00:22:13,2021-03-01 01:00:18,1,19.15,2,N,132,68,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
